"samplesize","model","m","mfit","s","sfit","color"
100,"NN",0.27,0.319302673858339,0.0489897948556636,0.0498269263712828,"#F0CD0A"
100,"RF",0.284,0.327586387757215,0.0598331012066064,0.0454880879178984,"#8CDA11"
100,"SVM",0.292,0.332990481825085,0.0420713679359253,0.0439275592172682,"#F26B59"
200,"NN",0.314,0.337161934572846,0.0427784992724149,0.0494876516779982,"#F0CD0A"
200,"RF",0.296,0.344744280680886,0.03286335345031,0.045113069809545,"#8CDA11"
200,"SVM",0.312,0.349796956818134,0.0414728827066554,0.0450077085792275,"#F26B59"
300,"NN",0.374,0.3542653012,0.0461519230368573,0.0491540356604388,"#F0CD0A"
300,"RF",0.4,0.361182386223062,0.0424264068711928,0.0447797100400406,"#8CDA11"
300,"SVM",0.404,0.365904553151506,0.0250998007960223,0.045998161407065,"#F26B59"
400,"NN",0.398,0.370593514845124,0.034928498393146,0.0488251705057789,"#F0CD0A"
400,"RF",0.406,0.376880060943178,0.0288097205817759,0.0444939244309752,"#8CDA11"
400,"SVM",0.392,0.381293759238286,0.0460434577328853,0.0468969853953105,"#F26B59"
500,"NN",0.4,0.386127316613538,0.0435889894354067,0.0485001484011926,"#F0CD0A"
500,"RF",0.412,0.391816661400666,0.0460434577328853,0.0442616288039386,"#8CDA11"
500,"SVM",0.416,0.395945063491562,0.0541294744108974,0.0477022482384942,"#F26B59"
600,"NN",0.438,0.400847447610563,0.0501996015920445,0.0481780615338542,"#F0CD0A"
600,"RF",0.438,0.405971544154962,0.0571839138219832,0.0440887389805209,"#8CDA11"
600,"SVM",0.44,0.409838954324422,0.0452769256906871,0.0484120176311461,"#F26B59"
700,"NN",0.38,0.41473464894152,0.0632455532033676,0.0478580020909379,"#F0CD0A"
700,"RF",0.386,0.419324065765497,0.0433589667773576,0.043981170782312,"#8CDA11"
700,"SVM",0.394,0.422955920149954,0.0654217089351845,0.0490243612677963,"#F26B59"
800,"NN",0.466,0.42774644298783,0.0626897120746299,0.0475471871063266,"#F0CD0A"
800,"RF",0.47,0.43182588759131,0.0469041575982343,0.0439598059819392,"#8CDA11"
800,"SVM",0.46,0.435254232584289,0.0648074069840786,0.0495410521204095,"#F26B59"
900,"NN",0.424,0.439895749059736,0.0801872807869178,0.0472534766682202,"#F0CD0A"
900,"RF",0.442,0.443489039083944,0.0460434577328854,0.0440264326338483,"#8CDA11"
900,"SVM",0.448,0.446748138297909,0.0810555365166378,0.049968566316656,"#F26B59"
1000,"NN",0.488,0.451246403655795,0.0576194411635517,0.0469769275452685,"#F0CD0A"
1000,"RF",0.478,0.454383428941593,0.0567450438364445,0.0441583259823566,"#8CDA11"
1000,"SVM",0.486,0.457502088285426,0.0585662018573853,0.0503120262846236,"#F26B59"
1100,"NN",0.494,0.461862243274564,0.0378153408023781,0.0467175965061213,"#F0CD0A"
1100,"RF",0.482,0.464578965862451,0.0294957624075053,0.0443327612717814,"#8CDA11"
1100,"SVM",0.496,0.467580533541453,0.0371483512420134,0.0505765544524003,"#F26B59"
1200,"NN",0.48,0.471807104414598,0.058309518948453,0.0464755403194283,"#F0CD0A"
1200,"RF",0.464,0.474145558544712,0.0746993975879324,0.04452701374644,"#8CDA11"
1200,"SVM",0.476,0.477047925060603,0.0594138031100518,0.0507672732480741,"#F26B59"
1300,"NN",0.462,0.481144823574455,0.0109544511501033,0.0462508157538394,"#F0CD0A"
1300,"RF",0.468,0.483153115686569,0.0216794833886788,0.0447183586506497,"#8CDA11"
1300,"SVM",0.482,0.485968713837488,0.0426614580154031,0.0508893050997328,"#F26B59"
1400,"NN",0.46,0.489386367217407,0.0324037034920393,0.0459016535743626,"#F0CD0A"
1400,"RF",0.486,0.491111021485106,0.0250998007960223,0.0449631658310135,"#8CDA11"
1400,"SVM",0.478,0.493870864537141,0.0238746727726266,0.0507589341194438,"#F26B59"
1500,"NN",0.492,0.496251406447722,0.0679705818718657,0.0453587306753065,"#F0CD0A"
1500,"RF",0.518,0.497734490466592,0.0580517010947999,0.0453060851207864,"#8CDA11"
1500,"SVM",0.516,0.500479982166551,0.0568330889535313,0.0502834624148883,"#F26B59"
1600,"NN",0.5,0.502116834725449,0.0291547594742265,0.0447307730192712,"#F0CD0A"
1600,"RF",0.488,0.50340217682301,0.0216794833886788,0.0457068117442636,"#8CDA11"
1600,"SVM",0.484,0.50615697823327,0.0279284800875379,0.0496045394075755,"#F26B59"
1700,"NN",0.532,0.507359545510634,0.0383405790253616,0.044126506568857,"#F0CD0A"
1700,"RF",0.538,0.508492734746339,0.0486826457785523,0.0461250409257403,"#8CDA11"
1700,"SVM",0.524,0.511262764244849,0.0550454357780915,0.0488638145190145,"#F26B59"
1800,"NN",0.476,0.512356432263327,0.0230217288664427,0.0436546572866639,"#F0CD0A"
1800,"RF",0.484,0.513384818428562,0.0403732584763727,0.0465204678895117,"#8CDA11"
1800,"SVM",0.49,0.516158251708839,0.0291547594742265,0.0482029371707144,"#F26B59"
1900,"NN",0.498,0.517484388443574,0.0148323969741913,0.0434239511352923,"#F0CD0A"
1900,"RF",0.484,0.518457082061658,0.0250998007960223,0.0468527878598729,"#8CDA11"
1900,"SVM",0.494,0.521204352132791,0.0279284800875379,0.0477635567841843,"#F26B59"
2000,"NN",0.542,0.522626821413054,0.107796103825695,0.0435549373252587,"#F0CD0A"
2000,"RF",0.544,0.523632558433972,0.0859069263796581,0.0472138940156199,"#8CDA11"
2000,"SVM",0.534,0.526365102516642,0.106677082824757,0.0476055704765501,"#F26B59"
2100,"NN",0.56,0.527422386908572,0.0187082869338697,0.0440199746400823,"#F0CD0A"
2100,"RF",0.544,0.528558546170772,0.0403732584763727,0.0476828047811203,"#8CDA11"
2100,"SVM",0.556,0.531323270626639,0.0403732584763727,0.0476486503809081,"#F26B59"
2200,"NN",0.522,0.531880850952873,0.0496990945591567,0.0447055034018667,"#F0CD0A"
2200,"RF",0.504,0.533200098219425,0.0507937003968012,0.0481999032490277,"#8CDA11"
2200,"SVM",0.522,0.536017864119794,0.0571839138219832,0.0478241084427224,"#F26B59"
2300,"NN",0.54,0.536011979568698,0.0524404424085076,0.0454979639327157,"#F0CD0A"
2300,"RF",0.56,0.537522267527296,0.0533853912601566,0.0487055725119952,"#8CDA11"
2300,"SVM",0.566,0.540387890653124,0.0572712842531054,0.0480632566074574,"#F26B59"
2400,"NN",0.538,0.539825538778791,0.0526307894677631,0.046283796554733,"#F0CD0A"
2400,"RF",0.538,0.541490107041752,0.0584807660688538,0.0491401956626763,"#8CDA11"
2400,"SVM",0.532,0.544372357883644,0.0383405790253616,0.0482974068205771,"#F26B59"
2500,"NN",0.518,0.543331294605895,0.0622093240599831,0.0469494415900222,"#F0CD0A"
2500,"RF",0.532,0.545068669710159,0.0554075807087803,0.0494441557937241,"#8CDA11"
2500,"SVM",0.536,0.547910273468366,0.0585662018573853,0.048457871027546,"#F26B59"
2600,"NN",0.58,0.546308467101795,0.0489897948556636,0.0476044538975693,"#F0CD0A"
2600,"RF",0.586,0.548120585496277,0.0439317652729776,0.0495642777070562,"#8CDA11"
2600,"SVM",0.582,0.550795282462949,0.0342052627529741,0.0485188800264245,"#F26B59"
2700,"NN",0.53,0.54864065322227,0.0604152298679729,0.0483849832939123,"#F0CD0A"
2700,"RF",0.524,0.550616623038363,0.0801872807869178,0.0495168453714524,"#8CDA11"
2700,"SVM",0.528,0.552987240789257,0.0601664358259653,0.0485151069725553,"#F26B59"
2800,"NN",0.556,0.550494184346051,0.031304951684997,0.0492173625374831,"#F0CD0A"
2800,"RF",0.566,0.552684043295533,0.0320936130717624,0.0493464306298588,"#8CDA11"
2800,"SVM",0.572,0.554674472403621,0.0238746727726266,0.0484685273473263,"#F26B59"
2900,"NN",0.554,0.552035391851867,0.0167332005306815,0.050027924386714,"#F0CD0A"
2900,"RF",0.562,0.5544501072269,0.0268328157299975,0.0490976053252219,"#8CDA11"
2900,"SVM",0.568,0.556045301262368,0.0408656334834051,0.0484011166321256,"#F26B59"
3000,"NN",0.574,0.553430607118451,0.0618869937870632,0.0507430016000369,"#F0CD0A"
3000,"RF",0.562,0.556042075791578,0.0443846820423443,0.0488149413004879,"#8CDA11"
3000,"SVM",0.566,0.557288051321827,0.0614817045957576,0.0483348503083408,"#F26B59"
3100,"NN",0.538,0.554846161524532,0.0443846820423443,0.0512889269358839,"#F0CD0A"
3100,"RF",0.548,0.557587209948683,0.0389871773792358,0.0485430103986033,"#8CDA11"
3100,"SVM",0.544,0.558591046538326,0.0391152144312159,0.04829170385736,"#F26B59"
3200,"NN",0.552,0.556448386448842,0.0501996015920445,0.0515920331526871,"#F0CD0A"
3200,"RF",0.548,0.559212770657327,0.0511859355682789,0.0483263844625142,"#8CDA11"
3200,"SVM",0.56,0.560142610868195,0.051478150704935,0.0482936527605709,"#F26B59"
3300,"NN",0.574,0.557991567070378,0.0343511280746353,0.0516797532905315,"#F0CD0A"
3300,"RF",0.576,0.560614996663066,0.0279284800875379,0.0481338903747548,"#8CDA11"
3300,"SVM",0.572,0.561659858237435,0.0294957624075052,0.0483752070704081,"#F26B59"
3400,"NN",0.534,0.559229033249711,0.0760263112349929,0.0516410807250019,"#F0CD0A"
3400,"RF",0.558,0.561569579760429,0.0825832912882503,0.0479128571011532,"#8CDA11"
3400,"SVM",0.544,0.562860527041433,0.0736885337077622,0.0485214714342006,"#F26B59"
3500,"NN",0.576,0.560325683387931,0.0568330889535313,0.05149468871778,"#F0CD0A"
3500,"RF",0.58,0.562322960481988,0.0452769256906871,0.0476756096095973,"#8CDA11"
3500,"SVM",0.58,0.563933877940596,0.0447213595499958,0.0486803132256783,"#F26B59"
3600,"NN",0.548,0.561446415886129,0.0535723809439155,0.0512592505305472,"#F0CD0A"
3600,"RF",0.536,0.563121579360318,0.0450555213042752,0.0474344728679746,"#8CDA11"
3600,"SVM",0.54,0.56506917159533,0.0604152298679729,0.048799599818571,"#F26B59"
3700,"NN",0.554,0.562756129145394,0.0531977443130815,0.0509534394249851,"#F0CD0A"
3700,"RF",0.548,0.564211876927994,0.0526307894677631,0.0472017718441731,"#8CDA11"
3700,"SVM",0.55,0.566455668666042,0.0360555127546399,0.0488271985866087,"#F26B59"
3800,"NN",0.552,0.564419721566817,0.0544977063737548,0.0505959286627753,"#F0CD0A"
3800,"RF",0.55,0.565840293717588,0.0308220700148449,0.0469898315060804,"#8CDA11"
3800,"SVM",0.56,0.568282629813138,0.0479583152331272,0.0487109769035213,"#F26B59"
3900,"NN",0.572,0.566307872813486,0.0593295878967653,0.0501934448076908,"#F0CD0A"
3900,"RF",0.56,0.567807728635778,0.0717635004720366,0.0468022608858159,"#8CDA11"
3900,"SVM",0.554,0.570392977729994,0.0684105255059483,0.0485081764040106,"#F26B59"
4000,"NN",0.606,0.568204726866934,0.0517687164221792,0.0497338021398103,"#F0CD0A"
4000,"RF",0.624,0.569786579145848,0.0384707681233427,0.0466312128976481,"#8CDA11"
4000,"SVM",0.614,0.572536102040892,0.0415932686861709,0.0483002376546048,"#F26B59"
4100,"NN",0.568,0.570145378605924,0.0715541752799933,0.0492073054952737,"#F0CD0A"
4100,"RF",0.572,0.571830533615288,0.0729383301152419,0.0464718283326886,"#8CDA11"
4100,"SVM",0.584,0.574760963802597,0.0730068489937759,0.048071326426773,"#F26B59"
4200,"NN",0.536,0.572164922909217,0.0409878030638384,0.0486042597102207,"#F0CD0A"
4200,"RF",0.524,0.573993280411585,0.0336154726279433,0.0463192479820487,"#8CDA11"
4200,"SVM",0.552,0.577116524071876,0.0491934955049954,0.0478056084919842,"#F26B59"
4300,"NN",0.578,0.574298454655575,0.0349284983931459,0.0479149696207912,"#F0CD0A"
4300,"RF",0.58,0.576328507902229,0.0380788655293195,0.0461686126368396,"#8CDA11"
4300,"SVM",0.578,0.579651743905493,0.0356370593624109,0.0474872496217077,"#F26B59"
4400,"NN",0.58,0.576581068723761,0.0380788655293195,0.0471297400631251,"#F0CD0A"
4400,"RF",0.58,0.578889904454708,0.033166247903554,0.0460150630881729,"#8CDA11"
4400,"SVM",0.596,0.582415584360214,0.0336154726279432,0.0471004155874124,"#F26B59"
4500,"NN",0.568,0.579014949758942,0.0327108544675922,0.0462473744674001,"#F0CD0A"
4500,"RF",0.574,0.581681671472912,0.0676756972627545,0.045856435622748,"#8CDA11"
4500,"SVM",0.576,0.585408571269478,0.0687749954561976,0.0466420982694432,"#F26B59"
4600,"NN",0.574,0.581572441941824,0.0304959013639538,0.0452748749533208,"#F0CD0A"
4600,"RF",0.584,0.584662430993664,0.0270185121722126,0.0456948217099981,"#8CDA11"
4600,"SVM",0.578,0.588589861939358,0.0319374388453426,0.0461226808940902,"#F26B59"
4700,"NN",0.582,0.584243879454481,0.0609918027279076,0.0442148443913164,"#F0CD0A"
4700,"RF",0.576,0.587817502333848,0.0296647939483826,0.0455317449151348,"#8CDA11"
4700,"SVM",0.584,0.591946364635569,0.0240831891575846,0.0455464162517412,"#F26B59"
4800,"NN",0.588,0.587019596478985,0.0408656334834051,0.0430698856518166,"#F0CD0A"
4800,"RF",0.584,0.591132204810351,0.0550454357780915,0.0453687288033698,"#8CDA11"
4800,"SVM",0.586,0.59546498762383,0.042190046219458,0.0449175571327837,"#F26B59"
4900,"NN",0.574,0.589889927197409,0.0350713558335003,0.0418426016052508,"#F0CD0A"
4900,"RF",0.594,0.594591857740058,0.0482700735445887,0.0452072969399148,"#8CDA11"
4900,"SVM",0.59,0.599132639169855,0.0552268050859363,0.0442403563276054,"#F26B59"
5000,"NN",0.622,0.592845205791823,0.0549545266561364,0.0405355951220486,"#F0CD0A"
5000,"RF",0.626,0.598181780439855,0.0502991053598372,0.0450489728899814,"#8CDA11"
5000,"SVM",0.634,0.602936227539362,0.049799598391955,0.043519066626594,"#F26B59"
